Term Code,Term Description,Full/Part Term Description,Course CRN,Course Subject,Course Number,Course Sequence Number,Building Name,Room Number,Course Start Time,Course End Time,Course Start Date,Course End Date,Sunday Indicator,Monday Indicator,Tuesday Indicator,Wednesday Indicator,Thursday Indicator,Friday Indicator,Saturday Indicator,Course Maximum Enrollment,Course Enrollment
201920,Spring 2019,Full Term,20113,MG,331,1,KELLER,133,930,1045,9-Jan-19,8-May-19,,,,,R,,,40,0
201920,Spring 2019,Full Term,20119,MG,362,1,KELLER,133,930,1045,9-Jan-19,8-May-19,,,T,,,,,45,0
201920,Spring 2019,Full Term,20122,MG,391,1,KELLER,333,1100,1215,9-Jan-19,8-May-19,,,T,,,,,48,0
201920,Spring 2019,Full Term,20140,MG,382W,1,KELLER,133,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,50,0
201920,Spring 2019,Full Term,20141,MG,382W,2,KELLER,133,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,50,0
201920,Spring 2019,Full Term,20146,MG,491,1,RABURN,109,930,1045,9-Jan-19,8-May-19,,,T,,R,,,45,0
201920,Spring 2019,Full Term,20147,MG,494,I01,KELLER,120,1700,1900,9-Jan-19,8-May-19,,M,,,,,,10,0
201920,Spring 2019,Full Term,20180,MK,363,1,KELLER,322,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,42,0
201920,Spring 2019,Full Term,20219,CS,155,1,RABURN,206,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,20221,CS,255,1,RABURN,110,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,20226,CS,455,1,RABURN,210,1500,1745,9-Jan-19,8-May-19,,,,W,,,,24,0
201920,Spring 2019,Full Term,20227,CS,470,1,RABURN,206,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,20738,EC,251,1,RABURN,104,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,60,0
201920,Spring 2019,Full Term,20739,EC,251,2,KELLER,333,930,1045,9-Jan-19,8-May-19,,,T,,R,,,48,0
201920,Spring 2019,Full Term,20740,EC,251,3,RABURN,110,800,915,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,20743,EC,252,2,KELLER,133,1100,1150,9-Jan-19,8-May-19,,M,,W,,F,,64,0
201920,Spring 2019,Full Term,20744,EC,252,3,KELLER,133,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,64,0
201920,Spring 2019,Full Term,20746,EC,341,1,KELLER,227,800,915,9-Jan-19,8-May-19,,,T,,R,,,32,0
201920,Spring 2019,Full Term,20753,FI,393,1,KELLER,222,900,950,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,20754,FI,393,2,KELLER,222,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,20756,FI,423,1,KELLER,227,1400,1515,9-Jan-19,8-May-19,,,T,,R,,,32,0
201920,Spring 2019,Full Term,20757,FI,470,1,KELLER,221,1800,2045,9-Jan-19,8-May-19,,,,W,,,,10,0
201920,Spring 2019,Full Term,20759,FI,495,1,KELLER,222,1200,1315,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,20759,FI,495,1,RABURN,211,1200,1315,9-Jan-19,8-May-19,,,,W,,,,30,0
201920,Spring 2019,Full Term,20760,FI,498,1,RABURN,110,930,1045,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,20763,QM,291,1,KELLER,227,930,1045,9-Jan-19,8-May-19,,,T,,R,,,32,0
201920,Spring 2019,Full Term,20764,QM,291,2,RABURN,104,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,42,0
201920,Spring 2019,Full Term,20766,QM,292,1,RABURN,104,930,1045,9-Jan-19,8-May-19,,,T,,R,,,60,0
201920,Spring 2019,Full Term,20767,QM,292,2,RABURN,104,1800,2045,9-Jan-19,8-May-19,,,,,R,,,45,0
201920,Spring 2019,Full Term,20769,QM,292,3,RABURN,104,1400,1515,9-Jan-19,8-May-19,,,T,,R,,,65,0
201920,Spring 2019,Full Term,20774,EC,391,1,RABURN,104,1100,1150,9-Jan-19,8-May-19,,M,,W,,F,,50,0
201920,Spring 2019,Full Term,20776,EC,453,1,KELLER,227,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,32,0
201920,Spring 2019,Full Term,20924,CIS,125,1,RABURN,211,800,850,9-Jan-19,8-May-19,,M,,W,,F,,30,0
201920,Spring 2019,Full Term,20925,CIS,125,2,RABURN,211,900,950,9-Jan-19,8-May-19,,M,,W,,F,,30,0
201920,Spring 2019,Full Term,20926,CIS,125,3,RABURN,211,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,30,0
201920,Spring 2019,Full Term,20927,CIS,125,4,RABURN,211,1630,1745,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,20928,CIS,125,5,RABURN,211,930,1045,9-Jan-19,8-May-19,,,T,,,,,30,0
201920,Spring 2019,Full Term,20929,CIS,125,6,RABURN,211,930,1045,9-Jan-19,8-May-19,,,,,R,,,30,0
201920,Spring 2019,Full Term,20930,CIS,125,7,RABURN,211,1230,1345,9-Jan-19,8-May-19,,,T,,,,,30,0
201920,Spring 2019,Full Term,20931,CIS,125,8,RABURN,211,1230,1345,9-Jan-19,8-May-19,,,,,R,,,30,0
201920,Spring 2019,Full Term,20932,CIS,125,9,RABURN,211,1400,1515,9-Jan-19,8-May-19,,,T,,,,,30,0
201920,Spring 2019,Full Term,20933,CIS,125,10,RABURN,211,1400,1515,9-Jan-19,8-May-19,,,,,R,,,30,0
201920,Spring 2019,Full Term,20937,CIS,225,1,RABURN,210,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,24,0
201920,Spring 2019,Full Term,20938,CIS,225,2,RABURN,210,1400,1515,9-Jan-19,8-May-19,,,T,,R,,,24,0
201920,Spring 2019,Full Term,20939,CIS,236,1,RABURN,210,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,24,0
201920,Spring 2019,Full Term,20942,CIS,330,1,KELLER,222,800,915,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,20946,CIS,366,1,RABURN,211,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,24,0
201920,Spring 2019,Full Term,20947,CIS,376,1,RABURN,206,1500,1615,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,20949,CIS,445,1,RABURN,210,930,1045,9-Jan-19,8-May-19,,M,,W,,,,24,0
201920,Spring 2019,Full Term,20954,CIS,486,1,RABURN,211,1530,1645,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,20998,AC,391,1,RABURN,104,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,45,0
201920,Spring 2019,Full Term,21458,FI,635,1,RABURN,110,1800,2045,9-Jan-19,8-May-19,,M,,,,,,35,0
201920,Spring 2019,Full Term,21617,EC,251,H01,KELLER,220,930,1045,9-Jan-19,8-May-19,,,T,,R,,,10,0
201920,Spring 2019,Full Term,21980,MG,498,1,KELLER,133,1330,1445,9-Jan-19,8-May-19,,,,W,,,,64,0
201920,Spring 2019,Full Term,22234,CIS,236,2,RABURN,211,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,22304,CIS,236,3,RABURN,211,1500,1615,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,22313,FI,393,3,RABURN,110,1400,1515,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,22739,MG,462,1,KELLER,122,1800,2045,9-Jan-19,8-May-19,,,,W,,,,30,0
201920,Spring 2019,Full Term,22744,CIS,236,4,RABURN,210,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,24,0
201920,Spring 2019,Full Term,22757,MG,350,1,RABURN,109,1100,1150,9-Jan-19,8-May-19,,,,W,,,,30,0
201920,Spring 2019,Full Term,23208,BL,240,1,KELLER,333,1100,1150,9-Jan-19,8-May-19,,M,,W,,,,45,0
201920,Spring 2019,Full Term,23210,BL,240,2,KELLER,333,1200,1250,9-Jan-19,8-May-19,,M,,W,,,,45,0
201920,Spring 2019,Full Term,23214,MK,462,1,RABURN,110,1000,1050,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,23635,CS,310,1,RABURN,110,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23638,BL,240,4,KELLER,122,800,915,9-Jan-19,8-May-19,,,T,,R,,,42,0
201920,Spring 2019,Full Term,23653,AC,291,2,KELLER,333,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,45,0
201920,Spring 2019,Full Term,23655,AC,291,3,KELLER,122,930,1045,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23656,AC,291,4,KELLER,320,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,35,0
201920,Spring 2019,Full Term,23657,AC,292,4,KELLER,322,1800,2045,9-Jan-19,8-May-19,,,T,,,,,40,0
201920,Spring 2019,Full Term,23658,AC,292,1,RABURN,104,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,67,0
201920,Spring 2019,Full Term,23659,AC,292,2,KELLER,122,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23660,AC,292,3,KELLER,122,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23661,AC,390,1,KELLER,320,800,915,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23664,AC,392,1,KELLER,322,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23665,AC,395,1,KELLER,327,1800,2045,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,23665,AC,395,1,RABURN,211,1930,2045,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,23666,AC,471,1,KELLER,320,930,1045,9-Jan-19,8-May-19,,,T,,R,,,36,0
201920,Spring 2019,Full Term,23667,AC,472,1,KELLER,322,930,1045,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23668,AC,473,1,KELLER,220,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23670,AC,481,1,RABURN,104,800,915,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23891,CS,135,3,RABURN,206,800,915,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23892,CS,135,4,RABURN,206,1400,1515,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23894,CS,135,1,RABURN,206,900,950,9-Jan-19,8-May-19,,M,,W,,F,,30,0
201920,Spring 2019,Full Term,23987,MG,395,1,RABURN,104,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,55,0
201920,Spring 2019,Full Term,24033,CIS,289,1,KELLER,234,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,24,0
201920,Spring 2019,Full Term,24092,CS,155,2,RABURN,206,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,24202,AC,291,1,KELLER,333,900,950,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,24299,MK,465,1,RABURN,109,1100,1150,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,24312,MG,234,1,KELLER,120,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,17,0
201920,Spring 2019,Full Term,24326,EC,252,1,RABURN,104,900,950,9-Jan-19,8-May-19,,M,,W,,F,,60,0
201920,Spring 2019,Full Term,24328,QM,291,3,RABURN,109,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,24514,CS,430,1,RABURN,206,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,30,0
201920,Spring 2019,Full Term,24515,CS,249,1,RABURN,110,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,15,0
201920,Spring 2019,Full Term,24517,CIS,476,1,RABURN,210,1500,1745,9-Jan-19,8-May-19,,M,,,,,,24,0
201920,Spring 2019,Full Term,24518,CIS,344,1,RABURN,210,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,24,0
201920,Spring 2019,Full Term,24519,CIS,249,1,RABURN,110,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,15,0
201920,Spring 2019,Full Term,24567,MG,474,1,KELLER,120,1500,1615,9-Jan-19,8-May-19,,M,,W,,,,15,0
201920,Spring 2019,Full Term,24568,MG,640,1,KELLER,122,1500,1700,9-Jan-19,8-May-19,,,,W,,,,22,0
201920,Spring 2019,Full Term,24657,FI,493,1,RABURN,110,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,20,0
201920,Spring 2019,Full Term,24659,FI,593,1,RABURN,110,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,20,0
201920,Spring 2019,Full Term,24661,PHL,250,1,RABURN,110,900,950,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,24814,QM,292,4,RABURN,104,1530,1645,9-Jan-19,8-May-19,,,T,,R,,,60,0
201920,Spring 2019,Full Term,24824,CS,135,2,RABURN,206,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,24844,HI,201,4,KELLER,222,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,24847,HI,201,6,KELLER,222,930,1045,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,24857,HI,390,1,RABURN,109,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,25,0
201920,Spring 2019,Full Term,24867,PHL,250,2,RABURN,110,1100,1150,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,24868,PHL,250,3,RABURN,109,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,25111,AC,697,1,KELLER,320,1800,2045,9-Jan-19,8-May-19,,,T,,,,,25,0
201920,Spring 2019,Full Term,25115,CS,355,1,RABURN,206,930,1045,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,25116,CIS,430,1,RABURN,210,930,1045,9-Jan-19,8-May-19,,,T,,R,,,21,0
201920,Spring 2019,Full Term,25120,CIS,651,1,RABURN,210,930,1045,9-Jan-19,8-May-19,,,T,,R,,,3,0
201920,Spring 2019,Full Term,25121,AC,694,1,KELLER,320,1800,2045,9-Jan-19,8-May-19,,,,W,,,,25,0
201920,Spring 2019,Second Half Term,25217,EMB,612,1,KELLER,122,1000,1200,4-Mar-19,8-May-19,,,,W,,,,30,0
201920,Spring 2019,Full Term,25242,AC,650,1,KELLER,320,1800,2045,9-Jan-19,8-May-19,,,,,R,,,25,0
201920,Spring 2019,First Half Term,25248,AC,642,1,KELLER,320,1300,1500,9-Jan-19,1-Mar-19,,,T,,,,,30,0
201920,Spring 2019,First Half Term,25249,FI,632,1,KELLER,327,1200,1400,9-Jan-19,1-Mar-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,25333,MG,274,1,KELLER,120,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,10,0
201920,Spring 2019,Full Term,25337,CIS,366,2,RABURN,211,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,17,0